企業名,職種,年収,必須要件,休日,アピールポイント,紹介数,成約数,候補者傾向メモ
大成建設株式会社,建築施工管理（ゼネコン）,550〜800万円,1級建築施工管理技士、現場経験5年以上,土日祝（現場により変動）,スーパーゼネコンの安定基盤、大型プロジェクト多数,0,0,
鹿島建設株式会社,設備施工管理（ゼネコン）,500〜750万円,1級管工事施工管理技士、設備施工経験3年以上,土日祝（現場により変動）,海外案件あり、技術力業界トップクラス,0,0,
高砂熱学工業株式会社,空調設備施工管理（サブコン）,450〜700万円,管工事施工管理技士、空調設備の施工経験,土日祝（現場常駐時は調整あり）,空調サブコン最大手、技術研修制度充実,0,0,
三機工業株式会社,衛生設備施工管理（サブコン）,450〜680万円,管工事施工管理技士2級以上、実務経験2年以上,土日祝,三井系の安定企業、福利厚生が手厚い,0,0,
ダイダン株式会社,電気設備施工管理（サブコン）,430〜650万円,電気工事施工管理技士、CAD使用経験,土日祝,設備総合サブコン、電気・空調・衛生の幅広い経験が積める,0,0,
東京都庁（施設管理部門）,公共施設の設備管理（発注者側）,400〜600万円,建築または設備系の施工管理経験、普通自動車免許,完全土日祝休み、年間休日125日以上,発注者側で残業少なめ、ワークライフバランス良好,0,0,
三井不動産株式会社,建物設備企画・管理（デベロッパー）,600〜900万円,設備施工管理経験5年以上、1級管工事施工管理技士,完全週休2日制（土日祝）,デベロッパー大手、上流工程に関われる、高年収,0,0,
野村不動産パートナーズ株式会社,マンション設備管理（発注者側）,380〜520万円,設備管理経験1年以上、第二種電気工事士,シフト制（月8〜10日休み）,未経験歓迎、資格取得支援あり、残業月20h程度,0,0,
NTTファシリティーズ,ビル設備管理（インハウスエンジニア）,420〜600万円,ビル管理経験または設備施工管理経験、建築物環境衛生管理技術者尚可,完全週休2日制（土日祝）,NTTグループの安定基盤、残業少なめ、データセンター案件,0,0,
東急不動産ホールディングス,設備リニューアル企画（デベロッパー）,550〜800万円,設備施工管理経験3年以上、改修工事の知見,完全週休2日制（土日祝）,渋谷エリア再開発プロジェクト、企画段階から参画可能,0,0,
きんでん株式会社,電気設備施工管理（サブコン）,480〜720万円,1級電気工事施工管理技士、現場代理人経験,土日祝（現場により変動）,関西電力系、電気サブコン最大手、全国に案件あり,0,0,
関電ファシリティーズ株式会社,オフィスビル設備管理（インハウスエンジニア）,350〜500万円,第三種電気主任技術者または建築物環境衛生管理技術者,シフト制（月9日休み）,関電グループの安定性、宿直手当あり、資格手当充実,0,0,
UR都市機構,団地設備改修の発注管理（発注者側）,420〜580万円,設備施工管理経験、公共工事の知見あれば尚可,完全土日祝休み,公的機関で安定、残業月10h程度、転勤なし,0,0,
新菱冷熱工業株式会社,空調・衛生設備施工管理（サブコン）,460〜700万円,管工事施工管理技士、空調衛生いずれかの施工経験,土日祝（現場常駐時は調整あり）,空調サブコン大手、病院・データセンター等の特殊案件多数,0,0,
住友不動産ビルマネジメント株式会社,ビルメンテナンス統括（インハウスエンジニア）,400〜550万円,ビル管理経験2年以上、エネルギー管理士尚可,シフト制（4週8休）,住友不動産グループ、都心の大型ビル担当、マネジメント経験が積める,0,0,
清水建設株式会社,設備施工管理（ゼネコン）,520〜780万円,1級管工事施工管理技士、大型現場経験,土日祝（4週8閉所推進中）,スーパーゼネコン、DX推進中でBIM活用案件多数,0,0,
東京建物株式会社,技術企画（デベロッパー）,580〜850万円,設備設計または施工管理経験5年以上、一級建築士尚可,完全週休2日制（土日祝）、年間休日130日,老舗デベロッパー、少数精鋭で裁量大きい,0,0,
朝日工業社,空調設備施工管理（サブコン）,420〜630万円,管工事施工管理技士2級以上、施工図作成経験,土日祝,中堅サブコンで風通し良い社風、若手に裁量あり,0,0,
NEXCO中日本（中日本高速道路）,高速道路設備の維持管理（発注者側）,450〜650万円,電気または機械設備の施工管理経験、普通自動車免許,完全土日祝休み,インフラ系公的企業、社会貢献度高い、福利厚生充実,0,0,
森ビル株式会社,ビル設備のアセットマネジメント（デベロッパー）,550〜800万円,設備管理または施工管理経験3年以上、英語力あれば尚可,完全週休2日制（土日祝）,六本木ヒルズ等のランドマーク物件担当、グローバル環境,0,0,
